"TIME","GEO","GEO_LABEL","AGE","UNIT","SEX","Value"
"2013","LU","Luxembourg","Total","Percentage of active population","Total","5.9"
"2013","HU","Hungary","Total","Percentage of active population","Total","10.2"
"2013","MT","Malta","Total","Percentage of active population","Total","6.4"
"2013","NL","Netherlands","Total","Percentage of active population","Total","7.3"
"2013","AT","Austria","Total","Percentage of active population","Total","5.4"
"2013","PL","Poland","Total","Percentage of active population","Total","10.3"
"2013","PT","Portugal","Total","Percentage of active population","Total","16.4"
"2013","RO","Romania","Total","Percentage of active population","Total","7.1"
"2013","SI","Slovenia","Total","Percentage of active population","Total","10.1"
"2013","SK","Slovakia","Total","Percentage of active population","Total","14.2"
"2013","FI","Finland","Total","Percentage of active population","Total","8.2"
"2013","SE","Sweden","Total","Percentage of active population","Total","8.0"
"2013","UK","United Kingdom","Total","Percentage of active population","Total","7.5"
"2013","IS","Iceland","Total","Percentage of active population","Total","5.4"
"2013","NO","Norway","Total","Percentage of active population","Total","3.5"
"2013","TR","Turkey","Total","Percentage of active population","Total","9.0"
"2014","BE","Belgium","Total","Percentage of active population","Total","8.5"
"2014","BG","Bulgaria","Total","Percentage of active population","Total","11.4"
